"","eMat_GSE48581...1."
"1552872_at",6.107756593
"1552873_s_at",7.013083449
"1552875_a_at",3.621293772
"1552876_at",4.004125238
"1552877_s_at",6.357945985
"1552878_at",5.161954787
"1552879_a_at",6.324458502
"1552880_at",5.883948576
"1552882_a_at",5.816972886
"1552884_at",5.767778823
"1552885_a_at",7.307166773
"1552887_at",5.868055085
"1552889_a_at",8.492338206
"1552890_a_at",5.619110439
"1552892_at",6.866595062
"1552893_at",7.583460186
"1552895_a_at",3.639090801
"1552897_a_at",4.569767399
"1552898_a_at",4.107195715
"1552899_at",4.04129763
"1552900_a_at",3.795351923
"1552902_a_at",4.734612166
"1552903_at",5.81486918
"1552904_at",3.253091094
"1552906_at",3.195256655
"1552908_at",3.260715315
"1552910_at",5.962496826
"1552911_at",5.253488212
"1552912_a_at",3.967891568
"1552913_at",3.286817805
"1552914_a_at",5.952497578
"1552915_at",5.020696181
"1552917_at",5.205574799
"1552919_at",3.756285179
"1552921_a_at",6.42827034
"1552922_at",3.707668905
"1552923_a_at",5.213921032
"1552924_a_at",5.600306728
"1552925_at",5.348617221
"1552927_at",3.718478344
"1552928_s_at",3.779505111
"1552929_at",4.605052918
"1552930_at",7.843605986
"1552931_a_at",7.374346993
"1552932_at",4.863759715
"1552933_at",3.973104787
"1552935_at",6.283756092
"1552937_s_at",6.201528026
"1552938_at",4.86047903
"1552939_at",3.407949032
"1552940_at",4.170677573
"1552942_at",5.467969916
"1552943_at",3.675075507
"1552944_a_at",7.202118931
"1552946_at",5.256789016
"1552947_x_at",5.667092109
"1552948_at",5.802483503
"1552950_at",3.843816771
"1552952_at",3.988711893
"1552953_a_at",6.913858659
"1552954_at",4.844515714
"1552955_at",5.895288418
"1552957_at",3.685831526
"1552960_at",5.854671348
"1552961_at",5.337367909
"1552964_at",6.229896825
"1552965_a_at",4.626959059
"1552967_at",6.045719851
"1552969_a_at",4.398283681
"1552970_s_at",4.063677847
"1552971_at",3.857543899
"1552972_at",3.104527674
"1552973_at",4.986769618
"1552974_at",3.165973593
"1552975_x_at",3.724981101
"1552976_at",5.512055958
"1552977_a_at",7.770886386
"1552978_a_at",8.178881421
"1552979_at",3.639591422
"1552980_at",5.483377705
"1552982_a_at",4.377982125
"1552985_at",5.853697198
"1552986_at",5.929932908
"1552987_a_at",3.098330571
"1552988_at",3.976380597
"1552990_at",4.997041689
"1552991_at",5.186924246
"1552993_at",3.565847017
"1552995_at",6.746599844
"1552997_a_at",5.845482227
"1552998_at",4.427314479
"1552999_a_at",4.634194953
"1553002_at",4.93480813
"1553003_at",6.003956824
"1553004_at",4.493451277
"1553006_at",4.73779857
"1553007_a_at",5.408003504
"1553009_s_at",5.004951669
"1553011_at",5.260720159
"1553013_at",4.958156776
"1553015_a_at",7.503047568
"1553016_at",5.929780183
"1553019_at",7.108266667
"1553020_at",4.527945297
"1553021_s_at",5.839221158
"1553022_at",3.750285813
"1553023_a_at",5.074837976
"1553024_at",3.575319142
"1553025_at",4.285070201
"1553027_a_at",5.437494951
"1553028_at",4.561119648
"1553030_a_at",7.589224122
"1553031_at",5.13637529
"1553032_at",3.777898161
"1553033_at",4.013202986
"1553034_at",5.792479666
"1553036_at",4.287115174
"1553037_a_at",4.498707814
"1553039_a_at",7.947683857
"1553041_at",5.396310045
"1553042_a_at",6.779839622
"1553043_a_at",6.604513963
"1553044_at",5.432741982
"1553045_at",5.538763072
"1553046_s_at",6.581520653
"1553047_at",7.177313015
"1553048_a_at",6.944719903
"1553051_s_at",5.314131261
"1553052_at",3.877272967
"1553053_at",4.606320301
"1553055_a_at",5.56744075
"1553057_at",4.825801957
"1553058_at",5.072025796
"1553059_at",4.359144268
"1553060_at",6.144704051
"1553061_at",5.654095575
"1553062_at",7.632675889
"1553063_at",6.461947647
"1553064_at",6.126804681
"1553066_at",5.353752194
"1553067_a_at",5.834981848
"1553069_at",5.034849794
"1553070_a_at",4.975009564
"1553071_a_at",4.986850751
"1553072_at",5.538972437
"1553074_at",4.283115565
"1553075_a_at",3.191711025
"1553076_at",4.078385086
"1553077_at",3.932617257
"1553078_at",6.040482633
"1553079_at",4.533488242
"1553080_at",3.618223019
"1553081_at",7.497581003
"1553082_at",4.75103737
"1553083_at",6.278107622
"1553084_at",3.755804298
"1553086_at",3.995247747
"1553087_at",5.835746493
"1553088_a_at",8.001509218
"1553089_a_at",6.815858889
"1553093_a_at",4.138816093
"1553094_at",4.619844943
"1553096_s_at",6.524402194
"1553099_at",7.706238979
"1553101_a_at",9.712076532
"1553102_a_at",7.31825922
"1553103_at",8.710223272
"1553105_s_at",7.852305128
"1553106_at",7.723166668
"1553107_s_at",9.159929214
"1553108_at",6.803178183
"1553111_a_at",7.131230604
"1553112_s_at",6.97106108
"1553113_s_at",7.893541987
"1553114_a_at",6.763207415
"1553115_at",6.124582968
"1553117_a_at",8.179634566
"1553118_at",8.937183777
"1553120_at",3.597225931
"1553122_s_at",4.793852892
"1553123_at",4.926977372
"1553125_x_at",5.224698941
"1553126_a_at",3.687840573
"1553127_a_at",3.774138573
"1553129_at",7.402052628
"1553130_at",6.85881266
"1553131_a_at",7.220348746
"1553132_a_at",7.167803414
"1553133_at",6.003303442
"1553134_s_at",3.593110119
"1553136_at",8.18943454
"1553137_s_at",5.521806246
"1553138_a_at",4.027195245
"1553139_s_at",5.93834653
"1553140_at",4.884412558
"1553141_at",5.399227219
"1553142_at",4.40710798
"1553145_at",9.471176623
"1553146_at",3.926276044
"1553147_at",6.540837961
"1553148_a_at",7.614182372
"1553150_at",3.840338858
"1553151_at",8.775352525
"1553153_at",10.08064021
"1553155_x_at",9.519139036
"1553156_at",5.476148261
"1553157_at",5.595306584
"1553158_at",6.827786659
"1553159_at",5.525965484
"1553162_x_at",7.22181195
"1553163_at",6.462662722
"1553165_at",6.215641572
"1553166_at",6.419946838
"1553167_a_at",6.752723871
"1553168_at",6.543221273
"1553169_at",6.422070777
"1553171_x_at",5.600034103
"1553172_at",6.685974792
"1553174_at",7.095270699
"1553175_s_at",4.73462625
"1553176_at",4.434728589
"1553177_at",5.42308997
"1553178_a_at",6.668735466
"1553179_at",5.627107581
"1553180_at",3.346046457
"1553181_at",5.93834653
"1553183_at",4.047805705
"1553185_at",12.30828961
"1553186_x_at",11.59065936
"1553188_s_at",5.501672914
"1553190_s_at",7.034792617
"1553191_at",3.647590385
"1553192_at",6.345283235
"1553193_at",4.430559279
"1553194_at",5.56981018
"1553196_a_at",4.750863525
"1553197_at",3.551597682
"1553199_at",3.474675427
"1553202_at",5.293940967
"1553204_at",5.975307202
"1553205_at",7.151055355
"1553207_at",6.659916031
"1553208_s_at",5.603434247
"1553209_at",5.038576771
"1553211_at",5.380485511
"1553212_at",5.477153543
"1553213_a_at",4.68065642
"1553214_a_at",3.367101434
"1553215_s_at",5.920996381
"1553216_at",6.261750143
"1553217_s_at",5.85025143
"1553218_a_at",8.735553841
"1553219_a_at",5.147069364
"1553220_at",7.028699654
"1553221_at",6.367307961
"1553222_at",8.624770513
"1553224_at",5.611509089
"1553225_s_at",6.788430472
"1553226_at",4.877688298
"1553227_s_at",7.279018553
"1553228_at",4.614626938
"1553229_at",5.706704907
"1553232_at",5.153607489
"1553234_at",4.973159049
"1553235_at",5.908282114
"1553237_x_at",6.105811675
"1553238_a_at",7.777222359
"1553239_at",6.569549966
"1553241_at",4.538621951
"1553243_at",9.23161117
"1553244_at",4.068910534
"1553246_a_at",6.326811429
"1553247_a_at",5.760458046
"1553248_at",6.422362549
"1553249_at",4.477459925
"1553252_a_at",7.065459813
"1553253_at",7.713867122
"1553254_at",4.421099958
"1553255_at",4.104410867
"1553257_at",7.054396429
"1553258_at",6.221506374
"1553260_s_at",4.484164513
"1553261_x_at",3.515833866
"1553262_a_at",8.307326489
"1553263_at",7.500405966
"1553264_a_at",6.734826693
"1553265_at",7.265755956
"1553266_at",3.481885968
"1553267_a_at",3.897045412
"1553268_at",5.530447055
"1553269_at",6.489543694
"1553271_at",5.247243038
"1553272_at",6.272534227
"1553274_a_at",7.796904688
"1553275_s_at",6.215879655
"1553276_at",3.402291171
"1553277_at",3.044367984
"1553279_at",7.917123227
"1553280_at",5.777312802
"1553281_at",5.980001035
"1553282_at",5.18791487
"1553284_s_at",4.772106749
"1553285_s_at",3.809660372
"1553286_at",7.5867874
"1553288_a_at",6.54282002
"1553292_s_at",7.637934639
"1553293_at",3.686337085
"1553295_at",3.131499977
"1553296_at",3.790376843
"1553297_a_at",8.025865276
"1553298_at",3.266765445
"1553299_at",3.596223104
"1553300_a_at",4.669345297
"1553301_a_at",4.252027405
"1553303_at",5.979903216
"1553304_at",6.800175452
"1553306_at",5.454922268
"1553310_at",3.567139032
"1553311_at",4.144989327
"1553313_s_at",9.629602968
"1553314_a_at",4.428379687
"1553315_at",4.620046194
"1553316_at",5.611337371
"1553317_s_at",4.194237295
"1553318_at",5.779341775
"1553319_at",5.668786056
"1553320_s_at",3.351170504
"1553321_a_at",6.010398287
"1553322_s_at",5.452911499
"1553323_a_at",5.735630477
"1553325_at",5.60548845
"1553326_at",3.994673173
"1553327_a_at",5.630698916
"1553328_a_at",5.049189373
"1553329_at",3.648629008
"1553330_at",3.373305896
"1553333_at",5.407614249
"1553335_x_at",4.778284129
"1553336_a_at",4.335166771
"1553338_at",6.025389656
"1553340_s_at",6.60423127
"1553341_at",5.604320667
"1553344_at",3.419970623
"1553346_a_at",5.569093671
"1553347_s_at",5.791554509
"1553348_a_at",6.427693626
"1553349_at",8.378411775
"1553350_at",5.107773535
"1553351_at",5.531941209
"1553352_x_at",5.690397004
"1553354_a_at",6.895698221
"1553355_at",4.327179985
"1553356_at",3.371986329
"1553357_at",3.586495571
"1553359_at",8.3524065
"1553361_x_at",8.405535076
"1553362_at",3.137757086
"1553363_at",4.637479865
"1553364_at",5.607959523
"1553365_at",4.273017041
"1553366_s_at",7.424605097
"1553367_a_at",6.305072024
"1553369_at",5.238947013
"1553371_at",4.655965539
"1553372_at",4.430641458
"1553373_at",4.602372227
"1553374_at",3.357353168
"1553375_at",5.272196199
"1553376_a_at",3.989618591
"1553378_a_at",4.332023353
"1553380_at",3.811946594
"1553383_at",3.596223104
"1553385_at",5.775045459
"1553386_at",5.590783849
"1553387_at",6.333011875
"1553388_at",4.245018709
"1553389_at",5.470044977
"1553390_at",4.047504299
"1553391_at",3.659754547
"1553392_at",3.642924141
"1553394_a_at",7.882012883
"1553395_a_at",6.806046567
"1553396_a_at",6.238595528
"1553397_at",7.706458533
"1553398_at",4.222406853
"1553399_a_at",7.055253583
"1553400_a_at",6.839403645
"1553401_at",3.58694375
"1553402_a_at",4.341131072
"1553403_at",4.935060135
"1553405_a_at",4.75194991
"1553407_at",7.090425404
"1553409_at",3.78894349
"1553410_a_at",4.676592233
"1553411_s_at",4.93536175
"1553412_at",5.884865342
"1553413_at",4.994241894
"1553415_at",3.421109868
"1553417_at",5.410549569
"1553418_a_at",4.591510054
"1553420_at",4.396075232
"1553422_s_at",6.468185383
"1553423_a_at",4.923025607
"1553424_at",3.760740619
"1553425_at",5.190417436
"1553426_at",4.294697562
"1553427_at",5.302571016
"1553428_at",3.60975842
"1553429_at",5.834847711
"1553430_a_at",5.12668877
"1553432_s_at",5.302506742
"1553433_at",4.093721738
"1553434_at",4.161501824
"1553435_at",5.08153261
"1553436_at",6.133177638
"1553437_at",6.12223677
"1553438_at",7.573407821
"1553439_at",6.514552688
"1553440_at",3.362360648
"1553441_at",2.907288737
"1553442_a_at",4.075003393
"1553443_at",4.398438091
"1553444_a_at",7.397298746
"1553446_at",4.834752398
"1553447_at",4.759267634
"1553448_at",6.221550036
"1553449_at",5.196006953
"1553450_s_at",4.003537496
"1553451_at",4.813379654
"1553452_at",3.890189275
"1553453_at",4.656839912
"1553454_at",3.867390012
"1553456_at",4.050875375
"1553457_at",6.574293212
"1553458_at",6.379522482
"1553459_at",5.191373229
"1553460_at",5.77757555
"1553461_at",4.746141639
"1553462_at",3.390831365
"1553464_at",7.245173309
"1553465_a_at",4.932419891
"1553466_at",5.574199545
"1553467_at",4.441585012
"1553468_at",4.743354315
"1553470_at",4.859122036
"1553471_at",3.901245308
"1553472_at",4.366205869
"1553474_at",3.197160471
"1553475_at",4.117054299
"1553478_at",5.083536435
"1553479_at",5.028267305
"1553482_at",4.457078289
"1553483_at",7.013083449
"1553484_at",3.775056038
"1553485_at",4.264523486
"1553486_a_at",4.516604319
"1553488_at",6.108896639
"1553489_a_at",5.900689642
"1553491_at",5.095428073
"1553492_a_at",4.624764963
"1553493_a_at",6.329803617
"1553494_at",3.342119879
"1553497_at",3.61520158
"1553498_at",5.450021652
"1553499_s_at",6.960450746
"1553500_at",6.416980985
"1553502_a_at",4.103174033
"1553504_at",4.336004584
"1553505_at",4.997802592
"1553506_at",5.344764634
"1553507_a_at",6.576225698
"1553508_at",4.717504619
"1553510_s_at",7.897458599
"1553511_at",6.283723125
"1553512_at",4.776480921
"1553513_at",3.882813119
"1553514_a_at",4.497854055
"1553515_at",5.213486748
"1553517_at",5.820906592
"1553518_at",4.97863882
"1553519_at",3.478044688
"1553521_at",4.317178509
"1553523_at",5.735061495
"1553524_at",3.835105087
"1553525_at",6.911405275
"1553526_at",6.427864193
"1553527_at",5.190658112
"1553528_a_at",6.847180626
"1553529_at",5.085795113
"1553530_a_at",10.23008584
"1553531_at",4.675653172
"1553532_a_at",5.80160552
"1553533_at",5.108123014
"1553534_at",4.422679976
"1553535_a_at",7.5818903
"1553536_at",5.276709139
"1553537_at",4.011690675
"1553538_s_at",15.13862489
"1553539_at",6.492075014
"1553540_a_at",6.613792937
"1553541_at",4.705848493
"1553542_at",6.571573322
"1553544_at",6.605371586
"1553545_at",6.453447732
"1553546_at",3.319303173
"1553547_at",4.000073844
"1553549_at",4.607351481
"1553550_at",4.435925872
"1553551_s_at",14.5261349
"1553552_at",5.851818014
"1553553_at",4.579079145
"1553555_at",5.622120261
"1553556_at",3.989778105
"1553558_at",5.462046739
"1553559_at",6.381341632
"1553560_at",4.615947692
"1553561_at",3.993208958
"1553562_at",5.319312879
"1553564_at",6.153070661
"1553565_s_at",6.168622883
"1553566_at",6.454845636
"1553567_s_at",14.8559818
"1553568_a_at",6.48955245
"1553569_at",15.11305985
"1553570_x_at",15.15526811
"1553572_a_at",7.056048021
"1553573_s_at",4.520107774
"1553574_at",5.073421333
"1553575_at",8.803235851
"1553579_a_at",4.041185454
"1553581_s_at",8.701736274
"1553582_a_at",4.921213889
"1553583_a_at",6.70408501
"1553584_at",5.987536424
"1553585_a_at",4.694199861
"1553586_at",5.675997899
"1553587_a_at",8.914435595
"1553588_at",15.2215381
"1553589_a_at",12.75186327
"1553590_at",6.033844228
"1553591_at",5.053588427
"1553592_x_at",6.280715668
"1553593_a_at",6.92458006
"1553594_a_at",6.440068134
"1553599_a_at",4.135177751
"1553600_at",5.964048704
"1553601_a_at",4.662815721
"1553602_at",6.642341945
"1553603_s_at",6.48552929
"1553604_at",3.654155355
"1553605_a_at",4.175406612
"1553607_at",3.411242942
"1553608_a_at",4.723316293
"1553611_s_at",7.125198629
"1553612_at",6.219774902
"1553613_s_at",10.98900272
"1553614_a_at",4.413810474
"1553618_at",4.638921508
"1553619_a_at",5.496468977
"1553620_at",3.790376843
"1553622_a_at",4.521165478
"1553623_at",4.696686081
"1553625_at",2.932960705
"1553626_a_at",4.685022711
"1553627_s_at",4.142519127
"1553629_a_at",5.738533958
"1553630_at",3.685211819
"1553633_s_at",5.972022356
"1553634_a_at",5.831019574
"1553635_s_at",4.491711438
"1553636_at",3.404091625
